id,sensorType,sensorValue,created
973,AirQualityScore,85,2023-01-23 10:09:53
972,AirQualityPercent,83,2023-01-23 10:09:53
971,eCO2,693,2023-01-23 10:09:53
970,Humidity,15,2023-01-23 10:09:53
969,Pressure,103060,2023-01-23 10:09:53
968,Temperature,30.96,2023-01-23 10:09:53
967,AirQualityScore,70,2023-01-23 10:07:36
966,AirQualityPercent,86,2023-01-23 10:07:36
965,eCO2,579,2023-01-23 10:07:36
964,Humidity,18,2023-01-23 10:07:36
963,Pressure,103058,2023-01-23 10:07:36
962,Temperature,28.59,2023-01-23 10:07:36
961,AirQualityScore,100,2023-01-23 10:03:54
960,AirQualityPercent,80,2023-01-23 10:03:54
959,eCO2,830,2023-01-23 10:03:54
958,Humidity,17,2023-01-23 10:03:54
957,Pressure,103056,2023-01-23 10:03:54
956,Temperature,28.98,2023-01-23 10:03:54
955,AirQualityScore,100,2023-01-23 09:54:07
954,AirQualityPercent,80,2023-01-23 09:54:07
953,eCO2,830,2023-01-23 09:54:07
952,Humidity,17,2023-01-23 09:54:07
951,Pressure,103044,2023-01-23 09:54:07
950,Temperature,28.81,2023-01-23 09:54:07
949,AirQualityScore,100,2023-01-23 09:52:12
948,AirQualityPercent,80,2023-01-23 09:52:12
947,eCO2,830,2023-01-23 09:52:12
946,Humidity,17,2023-01-23 09:52:12
945,Pressure,103050,2023-01-23 09:52:12
944,Temperature,29.49,2023-01-23 09:52:12
943,AirQualityScore,100,2023-01-23 09:49:49
942,AirQualityPercent,80,2023-01-23 09:49:49
941,eCO2,830,2023-01-23 09:49:49
940,Humidity,17,2023-01-23 09:49:49
939,Pressure,103050,2023-01-23 09:49:49
938,Temperature,28.74,2023-01-23 09:49:49
937,AirQualityScore,100,2023-01-23 09:46:26
936,AirQualityPercent,80,2023-01-23 09:46:26
935,eCO2,830,2023-01-23 09:46:26
934,Humidity,16,2023-01-23 09:46:26
933,Pressure,103044,2023-01-23 09:46:26
932,Temperature,30.01,2023-01-23 09:46:26
931,AirQualityScore,100,2023-01-23 09:45:53
930,AirQualityPercent,80,2023-01-23 09:45:53
929,eCO2,830,2023-01-23 09:45:53
928,Humidity,16,2023-01-23 09:45:53
927,Pressure,103038,2023-01-23 09:45:53
926,Temperature,30.37,2023-01-23 09:45:53
925,AirQualityScore,100,2023-01-23 09:43:45
924,AirQualityPercent,80,2023-01-23 09:43:45
923,eCO2,830,2023-01-23 09:43:45
922,Humidity,17,2023-01-23 09:43:45
921,Pressure,103034,2023-01-23 09:43:45
920,Temperature,28.28,2023-01-23 09:43:45
919,Servo,0,2023-01-23 09:42:33
918,ZIPLEDs,"255,0,255,0",2023-01-23 09:42:29
917,AirQualityScore,95,2023-01-23 09:42:17
916,AirQualityPercent,81,2023-01-23 09:42:17
915,eCO2,781,2023-01-23 09:42:17
914,Humidity,17,2023-01-23 09:42:17
913,Pressure,103033,2023-01-23 09:42:17
912,Temperature,28.69,2023-01-23 09:42:17
911,AirQualityScore,95,2023-01-23 09:35:27
910,AirQualityPercent,81,2023-01-23 09:35:27
909,eCO2,781,2023-01-23 09:35:27
908,Humidity,17,2023-01-23 09:35:27
907,Pressure,103042,2023-01-23 09:35:27
906,Temperature,28.18,2023-01-23 09:35:27
905,HPO2,Off,2023-01-23 09:27:23
904,HPO1,Off,2023-01-23 09:27:23
903,ZIPLEDs,"255,0,255,50",2023-01-23 09:27:20
902,ZIPLEDs,"255,0,0,50",2023-01-23 09:27:18
901,ZIPLEDs,"255,0,255,50",2023-01-23 09:27:12
900,AirQualityScore,85,2023-01-23 09:27:03
899,AirQualityPercent,83,2023-01-23 09:27:03
898,eCO2,693,2023-01-23 09:27:03
897,Humidity,18,2023-01-23 09:27:03
896,Pressure,103054,2023-01-23 09:27:03
895,Temperature,27.01,2023-01-23 09:27:03
894,ZIPLEDs,"170,255,255,15",2023-01-23 09:24:59
893,HPO2,Off,2023-01-23 09:24:53
892,HPO1,On,2023-01-23 09:24:53
891,AirQualityScore,80,2023-01-23 09:24:43
890,AirQualityPercent,84,2023-01-23 09:24:43
889,eCO2,652,2023-01-23 09:24:43
888,Humidity,18,2023-01-23 09:24:43
887,Pressure,103054,2023-01-23 09:24:43
886,Temperature,27.57,2023-01-23 09:24:43
885,HPO2,Off,2023-01-23 09:20:30
884,HPO1,Off,2023-01-23 09:20:30
883,HPO2,On,2023-01-23 09:20:28
882,HPO1,Off,2023-01-23 09:20:28
881,HPO2,Off,2023-01-23 09:20:26
880,HPO1,Off,2023-01-23 09:20:26
879,ZIPLEDs,"170,0,255,50",2023-01-23 09:20:24
878,HPO2,Off,2023-01-23 09:20:24
877,HPO1,On,2023-01-23 09:20:24
876,ZIPLEDs,"170,0,255,50",2023-01-23 09:20:21
875,ZIPLEDs,"255,0,255,0",2023-01-23 09:19:55
874,ZIPLEDs,"255,0,255,100",2023-01-23 09:19:53
873,ZIPLEDs,"255,0,255,50",2023-01-23 09:19:45
872,ZIPLEDs,"255,85,255,50",2023-01-23 09:19:42
871,ZIPLEDs,"255,255,255,50",2023-01-23 09:19:40
870,ZIPLEDs,"103,255,255,50",2023-01-23 09:19:37
869,ZIPLEDs,"103,255,105,50",2023-01-23 09:19:35
868,ZIPLEDs,"0,255,0,50",2023-01-23 09:19:32
867,ZIPLEDs,"56,255,160,50",2023-01-23 09:19:28
866,ZIPLEDs,"56,255,44,50",2023-01-23 09:19:23
865,ZIPLEDs,"56,4,44,25",2023-01-23 09:19:15
864,AirQualityScore,70,2023-01-23 09:19:01
863,AirQualityPercent,86,2023-01-23 09:19:01
862,eCO2,579,2023-01-23 09:19:01
861,Humidity,18,2023-01-23 09:19:01
860,Pressure,103050,2023-01-23 09:19:01
859,Temperature,27.08,2023-01-23 09:19:01
858,ZIPLEDs,"56,4,44,25",2023-01-20 14:46:37
857,ZIPLEDs,"56,4,44,25",2023-01-20 14:46:34
856,ZIPLEDs,"56,4,44,25",2023-01-20 14:46:31
855,ZIPLEDs,"255,135,140,25",2023-01-20 14:46:21
854,ZIPLEDs,"25,135,25,25",2023-01-20 14:46:09
853,HPO2,Off,2023-01-20 14:46:05
852,HPO1,Off,2023-01-20 14:46:05
851,HPO2,On,2023-01-20 14:46:03
850,HPO1,Off,2023-01-20 14:46:03
849,HPO2,On,2023-01-20 14:45:59
848,HPO1,On,2023-01-20 14:45:59
847,HPO2,Off,2023-01-20 14:45:56
846,HPO1,On,2023-01-20 14:45:56
845,AirQualityScore,255,2023-01-20 14:45:46
844,AirQualityPercent,49,2023-01-20 14:45:46
843,eCO2,5331,2023-01-20 14:45:46
842,Humidity,16,2023-01-20 14:45:46
841,Pressure,101381,2023-01-20 14:45:46
840,Temperature,31.44,2023-01-20 14:45:46
839,HPO2,Off,2023-01-20 14:43:23
838,HPO1,Off,2023-01-20 14:43:23
837,HPO2,Off,2023-01-20 14:43:22
836,HPO1,Off,2023-01-20 14:43:22
835,HPO2,On,2023-01-20 14:43:20
834,HPO1,Off,2023-01-20 14:43:20
833,HPO2,On,2023-01-20 14:43:18
832,HPO1,Off,2023-01-20 14:43:18
831,AirQualityScore,265,2023-01-20 14:43:11
830,AirQualityPercent,47,2023-01-20 14:43:11
829,eCO2,6011,2023-01-20 14:43:11
828,Humidity,16,2023-01-20 14:43:11
827,Pressure,101375,2023-01-20 14:43:11
826,Temperature,31.71,2023-01-20 14:43:11
825,AirQualityScore,260,2023-01-20 14:41:52
824,AirQualityPercent,48,2023-01-20 14:41:52
823,eCO2,5661,2023-01-20 14:41:52
822,Humidity,16,2023-01-20 14:41:52
821,Pressure,101375,2023-01-20 14:41:52
820,Temperature,31.48,2023-01-20 14:41:52
819,HPO2,Off,2023-01-20 14:38:53
818,HPO1,Off,2023-01-20 14:38:53
817,HPO2,On,2023-01-20 14:37:51
816,HPO1,Off,2023-01-20 14:37:51
815,HPO2,On,2023-01-20 14:37:49
814,HPO1,Off,2023-01-20 14:37:49
813,HPO2,Off,2023-01-20 14:37:47
812,HPO1,Off,2023-01-20 14:37:47
811,HPO2,On,2023-01-20 14:37:43
810,HPO1,Off,2023-01-20 14:37:43
809,HPO2,On,2023-01-20 14:37:39
808,HPO1,Off,2023-01-20 14:37:39
807,HPO2,On,2023-01-20 14:37:36
806,HPO1,Off,2023-01-20 14:37:36
805,HPO2,Off,2023-01-20 14:37:34
804,HPO1,Off,2023-01-20 14:37:34
803,HPO2,On,2023-01-20 14:37:32
802,HPO1,Off,2023-01-20 14:37:32
801,HPO2,Off,2023-01-20 14:37:30
800,HPO1,Off,2023-01-20 14:37:30
799,HPO2,On,2023-01-20 14:37:27
798,HPO1,Off,2023-01-20 14:37:27
797,AirQualityScore,280,2023-01-20 14:37:25
796,AirQualityPercent,44,2023-01-20 14:37:25
795,eCO2,7197,2023-01-20 14:37:25
794,Humidity,14,2023-01-20 14:37:25
793,Pressure,101371,2023-01-20 14:37:25
792,Temperature,32.55,2023-01-20 14:37:25
791,HPO2,On,2023-01-20 14:36:54
790,HPO1,Off,2023-01-20 14:36:54
789,AirQualityScore,285,2023-01-20 14:36:51
788,AirQualityPercent,43,2023-01-20 14:36:51
787,eCO2,7642,2023-01-20 14:36:51
786,Humidity,13,2023-01-20 14:36:51
785,Pressure,101367,2023-01-20 14:36:51
784,Temperature,34.33,2023-01-20 14:36:51
783,AirQualityScore,275,2023-01-20 14:36:18
782,AirQualityPercent,45,2023-01-20 14:36:18
781,eCO2,6778,2023-01-20 14:36:18
780,Humidity,13,2023-01-20 14:36:18
779,Pressure,101371,2023-01-20 14:36:18
778,Temperature,35.2,2023-01-20 14:36:18
777,AirQualityScore,265,2023-01-20 14:35:00
776,AirQualityPercent,47,2023-01-20 14:35:00
775,eCO2,6011,2023-01-20 14:35:00
774,Humidity,13,2023-01-20 14:35:00
773,Pressure,101365,2023-01-20 14:35:00
772,Temperature,33.95,2023-01-20 14:35:00
771,Servo,26,2023-01-20 14:02:21
770,Servo,117,2023-01-20 14:02:19
769,ADC3,545,2023-01-20 14:02:16
768,ADC2,621,2023-01-20 14:02:16
767,ADC1,551,2023-01-20 14:02:16
766,ADC0,531,2023-01-20 14:02:16
765,AirQualityScore,305,2023-01-20 14:02:14
764,AirQualityPercent,39,2023-01-20 14:02:14
763,eCO2,9715,2023-01-20 14:02:14
762,Humidity,14,2023-01-20 14:02:14
761,Pressure,101299,2023-01-20 14:02:14
760,Temperature,32.46,2023-01-20 14:02:14
759,ADC3,0,2023-01-20 14:02:11
758,ADC2,617,2023-01-20 14:02:10
757,ADC1,550,2023-01-20 14:02:10
756,ADC0,530,2023-01-20 14:02:10
755,ADC3,553,2023-01-20 14:02:08
754,ADC2,618,2023-01-20 14:02:08
753,ADC1,549,2023-01-20 14:02:08
752,ADC0,523,2023-01-20 14:02:08
751,ADC3,545,2023-01-20 14:02:07
750,ADC2,617,2023-01-20 14:02:07
749,ADC1,547,2023-01-20 14:02:07
748,ADC0,565,2023-01-20 14:02:07
747,AirQualityScore,245,2023-01-20 14:01:55
746,AirQualityPercent,51,2023-01-20 14:01:55
745,eCO2,4728,2023-01-20 14:01:55
744,Humidity,14,2023-01-20 14:01:55
743,Pressure,101297,2023-01-20 14:01:55
742,Temperature,32.34,2023-01-20 14:01:55
741,ZIPLEDs,"25,25,25,25",2023-01-20 13:54:54
740,ZIPLEDs,"25,25,25,25",2023-01-20 13:54:50
739,ZIPLEDs,"0,0,0,0",2023-01-20 13:54:23
738,AirQualityScore,260,2023-01-20 13:54:14
737,AirQualityPercent,48,2023-01-20 13:54:14
736,eCO2,5661,2023-01-20 13:54:14
735,Humidity,13,2023-01-20 13:54:14
734,Pressure,101295,2023-01-20 13:54:14
733,Temperature,33.9,2023-01-20 13:54:14
732,ZIPLEDs,"0,0,0,0",2023-01-20 13:52:45
731,ZIPLEDs,"0,0,0,0",2023-01-20 13:52:41
730,ZIPLEDs,"0,0,0,0",2023-01-20 13:52:37
729,ZIPLEDs,"0,0,0,0",2023-01-20 13:52:33
728,ZIPLEDs,"0,0,0,0",2023-01-20 13:52:28
727,ZIPLEDs,"27,31,28,14",2023-01-20 13:52:22
726,ZIPLEDs,"27,31,28,14",2023-01-20 13:52:19
725,ZIPLEDs,"27,31,28,14",2023-01-20 13:52:16
724,AirQualityScore,260,2023-01-20 13:52:11
723,AirQualityPercent,48,2023-01-20 13:52:11
722,eCO2,5661,2023-01-20 13:52:11
721,Humidity,14,2023-01-20 13:52:11
720,Pressure,101297,2023-01-20 13:52:11
719,Temperature,32.68,2023-01-20 13:52:11
718,ZIPLEDs,"27,31,28,14",2023-01-20 13:51:27
717,ZIPLEDs,"27,31,28,36",2023-01-20 13:51:22
716,AirQualityScore,260,2023-01-20 13:51:12
715,AirQualityPercent,48,2023-01-20 13:51:12
714,eCO2,5661,2023-01-20 13:51:12
713,Humidity,14,2023-01-20 13:51:12
712,Pressure,101297,2023-01-20 13:51:12
711,Temperature,32.66,2023-01-20 13:51:12
710,ZIPLEDs,"27,31,28,100",2023-01-20 13:48:09
709,AirQualityScore,265,2023-01-20 13:47:46
708,AirQualityPercent,47,2023-01-20 13:47:46
707,eCO2,6011,2023-01-20 13:47:46
706,Humidity,14,2023-01-20 13:47:46
705,Pressure,101297,2023-01-20 13:47:46
704,Temperature,33.05,2023-01-20 13:47:46
703,ZIPLEDs,"255,0,72,0",2023-01-20 13:46:16
702,AirQualityScore,265,2023-01-20 13:46:10
701,AirQualityPercent,47,2023-01-20 13:46:10
700,eCO2,6011,2023-01-20 13:46:10
699,Humidity,14,2023-01-20 13:46:10
698,Pressure,101294,2023-01-20 13:46:10
697,Temperature,32.42,2023-01-20 13:46:10
696,ZIPLEDs,"255,0,72,81",2023-01-20 13:44:41
695,ZIPLEDs,"255,255,255,53",2023-01-20 13:44:36
694,AirQualityScore,260,2023-01-20 13:44:25
693,AirQualityPercent,48,2023-01-20 13:44:25
692,eCO2,5661,2023-01-20 13:44:25
691,Humidity,14,2023-01-20 13:44:25
690,Pressure,101290,2023-01-20 13:44:25
689,Temperature,31.92,2023-01-20 13:44:25
688,ZIPLEDs,"213,46,46,53",2023-01-20 13:41:02
687,ZIPLEDs,"255,255,255,28",2023-01-20 13:40:56
686,AirQualityScore,265,2023-01-20 13:38:44
685,AirQualityPercent,47,2023-01-20 13:38:44
684,eCO2,6011,2023-01-20 13:38:44
683,Humidity,15,2023-01-20 13:38:44
682,Pressure,101282,2023-01-20 13:38:44
681,Temperature,31.65,2023-01-20 13:38:44
680,ZIPLEDs,"255,255,255,28",2023-01-20 13:33:48
679,ZIPLEDs,"0,0,0,28",2023-01-20 13:33:41
678,AirQualityScore,270,2023-01-20 13:33:32
677,AirQualityPercent,46,2023-01-20 13:33:32
676,eCO2,6383,2023-01-20 13:33:32
675,Humidity,16,2023-01-20 13:33:32
674,Pressure,101272,2023-01-20 13:33:32
673,Temperature,31.66,2023-01-20 13:33:32
672,ZIPLEDs,"0,0,0,28",2023-01-20 13:32:16
671,ZIPLEDs,"255,0,62,43",2023-01-20 13:32:08
670,ZIPLEDs,"255,0,255,43",2023-01-20 13:30:59
669,ZIPLEDs,"255,0,255,0",2023-01-20 13:30:54
668,AirQualityScore,280,2023-01-20 13:30:31
667,AirQualityPercent,44,2023-01-20 13:30:31
666,eCO2,7197,2023-01-20 13:30:31
665,Humidity,17,2023-01-20 13:30:31
664,Pressure,101268,2023-01-20 13:30:31
663,Temperature,30.85,2023-01-20 13:30:31
662,ZIPLEDs,"255,0,255,0",2023-01-20 13:30:05
661,ZIPLEDs,"255,0,255,93",2023-01-20 13:30:01
660,ZIPLEDs,"255,0,255,0",2023-01-20 13:29:55
659,ZIPLEDs,"255,0,255,50",2023-01-20 13:29:51
658,AirQualityScore,285,2023-01-20 13:29:44
657,AirQualityPercent,43,2023-01-20 13:29:44
656,eCO2,7642,2023-01-20 13:29:44
655,Humidity,16,2023-01-20 13:29:44
654,Pressure,101266,2023-01-20 13:29:44
653,Temperature,31.01,2023-01-20 13:29:44
652,ZIPLEDs,"255,0,255,50",2023-01-20 13:29:10
651,AirQualityScore,280,2023-01-20 13:29:00
650,AirQualityPercent,44,2023-01-20 13:29:00
649,eCO2,7197,2023-01-20 13:29:00
648,Humidity,16,2023-01-20 13:29:00
647,Pressure,101266,2023-01-20 13:29:00
646,Temperature,31.49,2023-01-20 13:29:00
645,AirQualityScore,275,2023-01-20 13:27:39
644,AirQualityPercent,45,2023-01-20 13:27:39
643,eCO2,6778,2023-01-20 13:27:39
642,Humidity,16,2023-01-20 13:27:39
641,Pressure,101262,2023-01-20 13:27:39
640,Temperature,31.15,2023-01-20 13:27:39
639,AirQualityScore,265,2023-01-20 13:22:36
638,AirQualityPercent,47,2023-01-20 13:22:36
637,eCO2,6011,2023-01-20 13:22:36
636,Humidity,17,2023-01-20 13:22:36
635,Pressure,101262,2023-01-20 13:22:36
634,Temperature,30.8,2023-01-20 13:22:36
633,ADC3,561,2023-01-20 12:24:23
632,ADC2,626,2023-01-20 12:24:23
631,ADC1,560,2023-01-20 12:24:23
630,ADC0,545,2023-01-20 12:24:23
629,AirQualityScore,305,2023-01-20 12:24:19
628,AirQualityPercent,39,2023-01-20 12:24:19
627,eCO2,9715,2023-01-20 12:24:19
626,Humidity,14,2023-01-20 12:24:19
625,Pressure,101256,2023-01-20 12:24:19
624,Temperature,33.18,2023-01-20 12:24:19
623,Servo,117,2023-01-20 12:24:10
622,AirQualityScore,270,2023-01-20 12:23:55
621,AirQualityPercent,46,2023-01-20 12:23:55
620,eCO2,6383,2023-01-20 12:23:55
619,Humidity,15,2023-01-20 12:23:55
618,Pressure,101256,2023-01-20 12:23:55
617,Temperature,33.01,2023-01-20 12:23:55
616,Servo,0,2023-01-20 12:22:18
615,Servo,180,2023-01-20 12:17:15
614,AirQualityScore,295,2023-01-20 12:16:59
613,AirQualityPercent,41,2023-01-20 12:16:59
612,eCO2,8616,2023-01-20 12:16:59
611,Humidity,14,2023-01-20 12:16:59
610,Pressure,101254,2023-01-20 12:16:59
609,Temperature,32.65,2023-01-20 12:16:59
608,Servo,97,2023-01-20 12:15:49
607,Servo,97,2023-01-20 12:15:48
606,AirQualityScore,285,2023-01-20 12:15:45
605,AirQualityPercent,43,2023-01-20 12:15:45
604,eCO2,7642,2023-01-20 12:15:45
603,Humidity,16,2023-01-20 12:15:45
602,Pressure,101254,2023-01-20 12:15:45
601,Temperature,32.32,2023-01-20 12:15:45
600,Servo,97,2023-01-20 12:15:15
599,Servo,97,2023-01-20 12:15:14
598,Servo,21,2023-01-20 12:15:12
597,Servo,21,2023-01-20 12:15:10
596,Servo,21,2023-01-20 12:15:08
595,ADC3,590,2023-01-20 12:12:29
594,ADC2,654,2023-01-20 12:12:29
593,ADC1,585,2023-01-20 12:12:29
592,ADC0,550,2023-01-20 12:12:29
591,ADC3,590,2023-01-20 12:12:27
590,ADC2,655,2023-01-20 12:12:27
589,ADC1,585,2023-01-20 12:12:27
588,ADC0,555,2023-01-20 12:12:27
587,ADC3,571,2023-01-20 12:12:24
586,ADC2,654,2023-01-20 12:12:24
585,ADC1,586,2023-01-20 12:12:24
584,ADC0,578,2023-01-20 12:12:24
583,AirQualityScore,290,2023-01-20 12:11:40
582,AirQualityPercent,42,2023-01-20 12:11:40
581,eCO2,8114,2023-01-20 12:11:40
580,Humidity,20,2023-01-20 12:11:40
579,Pressure,101250,2023-01-20 12:11:40
578,Temperature,27.55,2023-01-20 12:11:40
577,ADC3,5,2023-01-20 12:08:09
576,ADC2,530,2023-01-20 12:08:08
575,ADC1,552,2023-01-20 12:08:07
574,ADC0,593,2023-01-20 12:08:07
573,AirQualityScore,315,2023-01-20 12:08:05
572,AirQualityPercent,37,2023-01-20 12:08:05
571,eCO2,10954,2023-01-20 12:08:05
570,Humidity,12,2023-01-20 12:08:05
569,Pressure,101248,2023-01-20 12:08:05
568,Temperature,35.66,2023-01-20 12:08:05
567,AirQualityScore,295,2023-01-20 12:07:50
566,AirQualityPercent,41,2023-01-20 12:07:50
565,eCO2,8616,2023-01-20 12:07:50
564,Humidity,13,2023-01-20 12:07:50
563,Pressure,101247,2023-01-20 12:07:50
562,Temperature,35.54,2023-01-20 12:07:50
561,AirQualityScore,290,2023-01-20 12:07:31
560,AirQualityPercent,42,2023-01-20 12:07:31
559,eCO2,8114,2023-01-20 12:07:31
558,Humidity,13,2023-01-20 12:07:31
557,Pressure,101248,2023-01-20 12:07:31
556,Temperature,34.91,2023-01-20 12:07:31
555,Servo,21,2023-01-20 12:06:28
554,Servo,145,2023-01-20 12:06:24
553,AirQualityScore,290,2023-01-20 12:06:17
552,AirQualityPercent,42,2023-01-20 12:06:17
551,eCO2,8114,2023-01-20 12:06:17
550,Humidity,14,2023-01-20 12:06:17
549,Pressure,101248,2023-01-20 12:06:17
548,Temperature,33.01,2023-01-20 12:06:17
547,AirQualityScore,280,2023-01-20 12:04:40
546,AirQualityPercent,44,2023-01-20 12:04:40
545,eCO2,7197,2023-01-20 12:04:40
544,Humidity,17,2023-01-20 12:04:40
543,Pressure,101250,2023-01-20 12:04:40
542,Temperature,29.6,2023-01-20 12:04:40
541,AirQualityScore,300,2023-01-20 12:01:01
540,AirQualityPercent,40,2023-01-20 12:01:01
539,eCO2,9149,2023-01-20 12:01:01
538,Humidity,14,2023-01-20 12:01:01
537,Pressure,101245,2023-01-20 12:01:01
536,Temperature,32.87,2023-01-20 12:01:01
535,Servo,21,2023-01-20 11:59:57
534,AirQualityScore,300,2023-01-20 11:59:54
533,AirQualityPercent,40,2023-01-20 11:59:54
532,eCO2,9149,2023-01-20 11:59:54
531,Humidity,13,2023-01-20 11:59:54
530,Pressure,101241,2023-01-20 11:59:54
529,Temperature,35.16,2023-01-20 11:59:54
528,Servo,180,2023-01-20 11:58:24
527,Servo,0,2023-01-20 11:58:22
526,Servo,68,2023-01-20 11:58:20
525,Servo,170,2023-01-20 11:58:16
524,AirQualityScore,290,2023-01-20 11:58:03
523,AirQualityPercent,42,2023-01-20 11:58:03
522,eCO2,8114,2023-01-20 11:58:03
521,Humidity,16,2023-01-20 11:58:03
520,Pressure,101245,2023-01-20 11:58:03
519,Temperature,32.48,2023-01-20 11:58:03
518,AirQualityScore,285,2023-01-20 11:57:15
517,AirQualityPercent,43,2023-01-20 11:57:15
516,eCO2,7642,2023-01-20 11:57:15
515,Humidity,17,2023-01-20 11:57:15
514,Pressure,101241,2023-01-20 11:57:15
513,Temperature,31.25,2023-01-20 11:57:15
512,AirQualityScore,270,2023-01-20 11:56:34
511,AirQualityPercent,46,2023-01-20 11:56:34
510,eCO2,6383,2023-01-20 11:56:34
509,Humidity,16,2023-01-20 11:56:34
508,Pressure,101241,2023-01-20 11:56:34
507,Temperature,31.61,2023-01-20 11:56:34
506,AirQualityScore,265,2023-01-20 11:40:55
505,AirQualityPercent,47,2023-01-20 11:40:55
504,eCO2,6011,2023-01-20 11:40:55
503,Humidity,22,2023-01-20 11:40:55
502,Pressure,101243,2023-01-20 11:40:55
501,Temperature,26.54,2023-01-20 11:40:55
500,AirQualityScore,290,2023-01-20 11:23:25
499,AirQualityPercent,42,2023-01-20 11:23:25
498,eCO2,8114,2023-01-20 11:23:25
497,Humidity,20,2023-01-20 11:23:25
496,Pressure,101235,2023-01-20 11:23:25
495,Temperature,27.06,2023-01-20 11:23:25
494,AirQualityScore,290,2023-01-20 11:22:40
493,AirQualityPercent,42,2023-01-20 11:22:40
492,eCO2,8114,2023-01-20 11:22:40
491,Humidity,20,2023-01-20 11:22:40
490,Pressure,101231,2023-01-20 11:22:40
489,Temperature,27.26,2023-01-20 11:22:40
488,AirQualityScore,280,2023-01-20 11:21:21
487,AirQualityPercent,44,2023-01-20 11:21:21
